,PM2.5,year,month,day,hour,PM10,AT,BP,SR,RH,WS,WD,NO,NO2,SO2,Ozone,CO,Benzene,NH3,NOx
0,75.0,2018.0,6.0,1.0,0.0,221.0,33.82,979.0,2.0,47.33,0.68,89.08,1.27,72.58,15.76,33.17,0.96,1.05,38.27,66.28
1,79.0,2018.0,6.0,1.0,1.0,185.0,33.43,979.0,2.0,47.42,0.97,97.17,1.26,48.5,17.39,50.13,0.95,0.66,44.82,46.47
2,55.0,2018.0,6.0,1.0,2.0,173.0,32.51,979.0,2.0,53.33,1.12,109.0,1.15,36.53,8.18,54.35,0.49,0.65,22.71,18.68
3,63.0,2018.0,6.0,1.0,3.0,195.0,31.92,979.0,2.0,58.08,1.66,130.58,0.65,31.41,13.96,50.22,1.09,0.72,36.09,29.83
4,68.0,2018.0,6.0,1.0,4.0,217.0,31.19,979.0,2.0,64.42,1.22,125.25,3.6,31.02,10.88,29.99,1.01,0.91,34.54,30.34
5,69.0,2018.0,6.0,1.0,5.0,189.0,30.76,980.0,6.33,71.08,1.38,107.5,1.11,30.43,10.34,18.93,0.87,0.77,38.5,29.55
6,66.0,2018.0,6.0,1.0,6.0,240.0,30.28,980.58,51.33,68.92,1.32,86.42,1.21,28.21,7.69,27.28,0.67,1.18,44.66,27.64
7,67.0,2018.0,6.0,1.0,7.0,250.0,30.53,981.0,169.92,63.0,1.76,106.17,1.89,27.22,5.44,41.0,0.58,1.89,38.77,27.72
8,52.0,2018.0,6.0,1.0,8.0,186.0,31.93,981.92,320.58,57.83,1.56,117.83,4.73,30.33,0.69,46.54,0.55,2.79,15.33,29.93
9,63.0,2018.0,6.0,1.0,9.0,185.0,33.68,982.0,465.17,52.58,1.88,113.5,8.32,35.13,11.38,54.12,0.6,1.36,54.53,42.48
10,62.0,2018.0,6.0,1.0,10.0,217.0,34.88,982.0,590.33,48.67,1.91,109.33,7.73,33.17,13.07,72.23,0.6,1.18,56.03,38.37
11,63.0,2018.0,6.0,1.0,11.0,224.0,36.33,981.25,685.58,44.58,1.57,122.17,1.83,28.46,13.93,105.5,0.8,0.74,46.08,28.73
12,106.0,2018.0,6.0,1.0,12.0,205.0,37.89,980.92,712.08,40.42,1.52,123.0,1.57,27.87,13.94,118.67,0.8,0.43,44.01,27.83
13,68.0,2018.0,6.0,1.0,13.0,226.0,39.16,979.92,677.25,36.75,1.37,125.92,1.47,26.51,14.01,133.04,0.77,0.4,42.29,26.46
14,70.0,2018.0,6.0,1.0,14.0,215.0,40.06,978.83,534.83,34.83,1.33,108.33,1.33,23.83,14.99,143.17,0.71,0.4,48.49,23.79
15,79.0,2018.0,6.0,1.0,15.0,226.0,40.17,977.58,254.08,34.25,1.25,108.67,3.29,24.29,15.87,136.36,0.65,0.58,49.25,26.23
16,85.0,2018.0,6.0,1.0,16.0,238.0,39.74,976.33,95.17,35.17,1.5,110.67,3.31,27.85,14.22,137.88,0.65,0.76,45.89,28.74
17,86.0,2018.0,6.0,1.0,17.0,240.0,39.2,976.0,62.75,36.25,1.42,111.42,4.39,39.19,15.77,121.67,0.72,0.53,42.88,38.69
18,80.0,2018.0,6.0,1.0,18.0,238.0,38.27,976.0,26.0,37.0,0.98,100.58,1.21,51.42,16.98,109.41,0.91,0.42,46.02,48.98
19,78.0,2018.0,6.0,1.0,19.0,254.0,37.21,976.58,3.33,40.25,1.13,98.0,1.17,61.4,15.78,84.02,1.06,0.5,36.12,58.16
20,77.0,2018.0,6.0,1.0,20.0,289.0,31.84,980.0,2.0,54.58,4.07,40.42,0.84,32.09,13.77,94.58,0.82,0.5,32.52,30.73
21,339.0,2018.0,6.0,1.0,21.0,330.5,27.31,981.75,2.0,66.0,2.67,46.25,8.0,56.68,11.08,61.31,0.56,0.98,29.91,58.66
22,81.0,2018.0,6.0,1.0,22.0,372.0,29.09,980.58,2.0,47.5,2.06,94.83,3.81,42.97,11.14,87.47,0.44,0.7,30.67,40.42
23,70.0,2018.0,6.0,1.0,23.0,219.0,27.57,980.08,2.0,54.67,1.77,129.75,0.29,43.83,15.89,79.2,0.48,0.57,35.43,40.7
24,51.0,2018.0,6.0,2.0,0.0,134.0,27.01,980.0,2.0,57.0,1.18,126.58,0.33,34.2,12.63,86.26,0.5,0.25,36.36,31.94
25,45.0,2018.0,6.0,2.0,1.0,100.0,27.27,979.33,2.0,55.58,1.06,124.25,6.29,49.63,22.08,62.0,0.43,0.83,35.77,47.69
26,46.0,2018.0,6.0,2.0,2.0,111.0,26.75,979.33,2.0,59.5,0.95,101.75,3.21,42.94,11.1,51.2,0.15,0.66,17.09,17.27
27,35.0,2018.0,6.0,2.0,3.0,81.0,26.64,979.92,2.0,58.58,0.76,115.58,0.62,36.04,14.55,58.77,0.31,0.33,25.97,34.06
28,33.0,2018.0,6.0,2.0,4.0,89.0,26.55,980.25,2.0,58.17,0.74,94.0,4.72,49.41,15.83,40.27,0.33,0.58,24.06,45.92
29,29.0,2018.0,6.0,2.0,5.0,85.0,26.36,981.0,6.42,58.17,0.77,116.83,0.93,48.6,14.38,40.69,0.49,0.45,26.62,46.05
30,33.0,2018.0,6.0,2.0,6.0,96.0,27.04,981.75,54.75,55.92,0.92,112.75,1.98,48.38,14.62,43.18,0.51,0.32,27.59,47.28
31,41.0,2018.0,6.0,2.0,7.0,97.0,28.56,982.0,171.17,53.58,1.11,118.0,3.94,47.57,17.14,43.82,0.6,0.42,32.21,49.32
32,59.0,2018.0,6.0,2.0,8.0,129.0,30.23,982.0,324.5,47.08,1.31,119.08,4.28,42.48,26.58,58.67,0.53,0.5,33.22,45.12
33,51.0,2018.0,6.0,2.0,9.0,111.0,31.92,982.08,472.75,41.83,1.71,113.5,3.55,33.8,29.13,85.13,0.49,0.46,34.21,36.09
34,52.0,2018.0,6.0,2.0,10.0,149.0,33.57,982.08,580.83,39.58,1.66,121.5,4.54,28.22,14.39,96.13,0.46,0.78,33.54,29.88
35,51.0,2018.0,6.0,2.0,11.0,153.0,34.72,982.0,641.58,38.25,1.87,113.08,3.61,26.17,12.49,120.43,0.57,0.78,32.69,26.9
36,52.0,2018.0,6.0,2.0,12.0,151.0,35.3,982.0,659.33,38.83,1.91,109.67,3.9,25.51,13.58,123.45,0.6,0.53,29.19,26.0
37,51.0,2018.0,6.0,2.0,13.0,184.0,35.64,981.0,624.75,39.75,1.85,100.42,7.96,26.75,10.64,107.44,0.56,0.77,26.79,27.63
38,44.0,2018.0,6.0,2.0,14.0,161.0,36.27,980.42,497.08,38.92,1.87,119.5,7.87,27.11,10.76,109.72,0.56,0.76,27.19,27.98
39,58.0,2018.0,6.0,2.0,15.0,185.0,36.6,979.5,242.5,39.25,1.53,120.08,9.79,27.58,9.51,98.16,0.5,0.82,29.21,30.51
40,62.5,2018.0,6.0,2.0,16.0,206.0,36.52,979.0,104.5,40.17,1.44,106.58,3.93,30.94,10.45,129.35,0.66,0.52,30.94,30.44
41,67.0,2018.0,6.0,2.0,17.0,212.0,36.06,978.0,67.83,41.33,1.66,108.0,0.93,34.32,10.21,128.44,0.66,0.47,32.42,32.93
42,77.0,2018.0,6.0,2.0,18.0,218.0,35.26,978.0,29.33,42.75,1.48,98.08,4.48,40.71,9.88,105.91,0.65,0.52,30.45,38.16
43,81.0,2018.0,6.0,2.0,19.0,232.0,33.8,978.0,3.58,49.92,1.25,90.0,0.98,46.08,10.67,94.4,0.82,0.42,31.83,43.81
44,55.0,2018.0,6.0,2.0,20.0,153.0,32.42,978.75,2.0,53.5,1.09,89.83,0.44,48.06,9.84,79.17,0.83,0.44,28.72,44.68
45,48.0,2018.0,6.0,2.0,21.0,125.0,31.52,979.08,2.0,54.83,1.19,98.5,0.55,46.06,9.72,76.68,0.79,0.4,30.16,43.16
46,45.0,2018.0,6.0,2.0,22.0,105.0,30.83,980.0,2.0,58.25,1.29,107.83,16.83,32.65,5.51,42.71,0.39,1.44,18.46,31.32
47,39.0,2018.0,6.0,2.0,23.0,96.0,30.12,979.67,2.0,62.17,1.0,115.42,1.19,44.66,9.83,55.62,0.81,0.66,43.0,42.74
48,38.0,2018.0,6.0,3.0,0.0,114.0,29.91,979.0,2.0,58.0,1.06,108.0,6.54,58.53,9.88,45.2,0.65,0.71,38.69,54.52
49,42.0,2018.0,6.0,3.0,1.0,100.0,29.56,979.0,2.0,57.25,1.23,116.33,0.94,33.33,11.09,59.72,0.6,0.4,42.42,31.97
50,42.0,2018.0,6.0,3.0,2.0,96.0,29.12,979.0,2.0,59.17,1.19,123.67,0.65,36.76,5.93,56.3,0.28,0.4,21.22,16.95
51,40.0,2018.0,6.0,3.0,3.0,97.0,28.71,979.0,2.0,62.08,1.35,125.92,0.77,27.88,10.38,64.97,0.6,0.4,36.37,26.71
52,30.0,2018.0,6.0,3.0,4.0,90.0,28.57,979.0,2.0,64.33,0.74,103.0,3.27,36.01,8.83,40.42,0.65,0.67,28.99,34.11
53,34.0,2018.0,6.0,3.0,5.0,90.0,27.97,979.0,6.33,68.67,0.97,81.17,1.04,34.85,8.96,38.06,0.77,0.65,32.16,33.53
54,40.0,2018.0,6.0,3.0,6.0,113.0,27.78,979.92,50.25,74.42,1.06,87.25,1.54,35.07,9.13,28.24,0.87,0.57,33.14,34.44
55,41.0,2018.0,6.0,3.0,7.0,121.0,28.26,980.17,159.42,74.67,1.39,67.17,5.12,43.97,11.09,23.22,0.92,0.67,50.88,47.68
56,46.0,2018.0,6.0,3.0,8.0,143.0,29.63,980.0,311.83,68.58,1.48,85.17,5.67,40.59,23.67,40.99,0.85,0.68,50.77,45.4
57,46.0,2018.0,6.0,3.0,9.0,129.0,32.15,980.0,475.92,59.75,1.48,95.17,4.34,25.32,19.78,73.07,0.77,0.75,49.34,28.96
58,41.0,2018.0,6.0,3.0,10.0,136.0,34.05,979.83,607.42,53.25,1.61,104.17,3.17,24.15,13.05,88.25,0.69,0.67,43.53,22.92
59,47.0,2018.0,6.0,3.0,11.0,130.0,35.86,979.0,690.33,46.67,1.47,117.0,1.09,20.76,7.85,113.29,0.78,1.42,36.14,26.83
60,36.0,2018.0,6.0,3.0,12.0,132.0,36.96,978.42,705.5,41.75,1.29,129.08,0.98,19.92,3.08,125.97,0.74,1.89,17.22,32.89
61,44.0,2018.0,6.0,3.0,13.0,128.0,37.85,977.58,662.92,39.33,1.23,146.83,0.92,19.23,0.3,133.34,0.72,2.11,10.57,35.64
62,116.0,2018.0,6.0,3.0,14.0,130.0,38.37,976.75,519.92,37.75,1.17,143.75,0.63,19.3,0.3,144.13,0.72,1.92,10.15,34.81
63,68.0,2018.0,6.0,3.0,15.0,130.0,38.64,976.0,245.75,35.58,1.02,131.75,0.88,19.4,0.3,154.1,0.67,2.05,12.26,48.22
64,79.0,2018.0,6.0,3.0,16.0,168.0,38.07,975.0,99.67,34.75,1.07,188.33,0.34,44.9,0.3,167.7,0.59,2.1,13.24,45.4
65,69.0,2018.0,6.0,3.0,17.0,183.0,38.05,975.0,66.67,35.33,0.75,159.92,3.42,25.42,8.92,166.57,0.55,1.03,30.15,32.75
66,69.0,2018.0,6.0,3.0,18.0,184.0,37.52,975.0,27.67,37.92,0.81,109.67,0.63,53.93,15.27,128.5,0.82,0.34,41.2,50.55
67,72.0,2018.0,6.0,3.0,19.0,200.0,36.32,975.08,4.0,41.67,1.06,88.17,0.79,61.54,12.83,89.36,0.89,0.62,37.34,56.19
68,62.0,2018.0,6.0,3.0,20.0,202.0,34.98,976.0,2.0,47.33,1.01,92.5,0.94,63.36,20.28,75.7,0.93,0.46,31.06,59.62
69,50.0,2018.0,6.0,3.0,21.0,171.0,34.06,976.0,2.0,51.17,0.57,101.17,0.76,68.06,16.38,53.19,1.08,0.89,26.96,57.66
70,70.0,2018.0,6.0,3.0,22.0,151.0,33.07,976.67,2.0,55.42,0.84,108.67,5.93,72.17,13.11,32.46,1.03,0.83,26.49,66.02
71,75.0,2018.0,6.0,3.0,23.0,160.0,32.65,977.0,2.0,57.58,1.01,98.42,0.94,50.62,13.69,59.45,0.91,0.74,39.4,47.89
72,62.0,2018.0,6.0,4.0,0.0,141.0,32.17,976.58,2.0,58.33,1.14,115.83,0.5,42.86,16.15,67.12,0.77,0.52,44.03,40.17
73,59.0,2018.0,6.0,4.0,1.0,132.0,31.55,976.0,2.0,60.0,0.79,126.33,0.58,50.51,14.78,50.01,0.78,0.5,41.95,47.31
74,52.0,2018.0,6.0,4.0,2.0,145.0,31.4,976.17,2.0,59.42,1.0,126.08,0.89,46.57,7.55,50.52,0.34,0.5,22.08,21.35
75,45.0,2018.0,6.0,4.0,3.0,136.0,30.99,976.75,2.0,61.67,0.83,121.33,0.76,45.32,13.53,43.66,0.75,0.47,40.58,42.75
76,55.0,2018.0,6.0,4.0,4.0,130.0,30.95,977.0,2.0,61.0,1.07,132.08,3.75,43.39,10.57,37.2,0.74,0.68,34.47,40.87
77,61.0,2018.0,6.0,4.0,5.0,146.0,30.88,977.58,7.08,60.08,1.33,135.83,0.93,33.78,10.79,52.57,0.8,0.66,33.43,32.38
