,PM2.5,year,month,day,hour,PM10,SR,WS,WD,NO,NO2,SO2,Ozone,CO,Benzene,NH3,NOx
0,90.0,2018.0,6.0,1.0,0.0,293.0,203.12,,57.45,18.32,50.62,8.03,3.27,0.97,0.0,88.45,41.6
1,94.0,2018.0,6.0,1.0,1.0,284.75,207.25,,41.95,17.18,49.82,7.98,3.6,0.99,0.0,86.42,40.25
2,101.75,2018.0,6.0,1.0,2.0,274.75,213.05,,66.57,15.53,45.8,7.9,9.0,0.96,0.0,80.62,36.77
3,69.5,2018.0,6.0,1.0,3.0,243.0,224.45,,57.12,18.35,49.45,7.65,5.5,0.85,0.0,88.0,40.97
4,60.0,2018.0,6.0,1.0,4.0,221.75,220.88,,44.7,19.58,50.38,8.05,3.35,0.81,0.0,88.27,42.43
5,65.0,2018.0,6.0,1.0,5.0,191.75,226.9,,60.4,22.9,48.7,8.42,2.85,0.78,0.0,88.35,44.2
6,69.0,2018.0,6.0,1.0,6.0,285.0,252.67,,33.72,21.72,47.9,7.9,3.27,0.7,0.0,88.05,42.85
7,57.25,2018.0,6.0,1.0,7.0,276.75,282.4,,48.53,19.75,49.27,7.72,3.27,0.68,0.0,88.03,42.0
8,49.0,2018.0,6.0,1.0,8.0,228.75,316.1,,40.47,19.0,49.17,7.48,3.28,0.68,0.16333334,87.78,41.38
9,47.0,2018.0,6.0,1.0,9.0,197.25,345.53,,41.6,15.0,50.98,7.48,3.27,0.72,0.32666668,87.62,39.1
10,59.0,2018.0,6.0,1.0,10.0,227.0,371.72,,41.32,17.7,51.33,7.8,2.88,0.77,0.49,88.52,41.43
11,56.0,2018.0,6.0,1.0,11.0,227.0,382.18,,63.7,17.42,52.65,7.8,3.05,0.77,0.65333337,88.08,41.97
12,49.25,2018.0,6.0,1.0,12.0,235.0,376.08,,55.68,12.02,53.87,7.15,3.95,0.72,0.81666666,87.67,38.28
13,57.75,2018.0,6.0,1.0,13.0,232.0,341.15,,37.33,9.03,53.43,6.85,4.7,0.71,0.98,87.08,35.62
