,PM2.5,year,month,day,hour,PM10,AT,BP,SR,RH,WS,WD,NO,NO2,SO2,Ozone,CO,Benzene,NH3,NOx
0,61.0,2018.0,6.0,1.0,0.0,284.0,34.77,976.0,9.08,41.0,1.07,107.17,2.94,14.86,6.98,48.79,1.14,0.2,60.5,17.78
1,63.0,2018.0,6.0,1.0,1.0,262.0,34.4,976.0,9.0,41.5,1.3,103.67,2.3,14.43,5.58,49.25,1.06,0.24,51.95,20.1
2,74.0,2018.0,6.0,1.0,2.0,218.0,33.48,976.0,9.0,44.25,1.21,116.83,2.3,10.2,0.38,60.9,0.13,0.8,1.18,4.53
3,53.0,2018.0,6.0,1.0,3.0,208.0,32.57,976.0,9.0,48.08,2.09,146.75,2.503,12.253,0.4,66.099,0.05,0.7625,0.63,0.17
4,117.0,2018.0,6.0,1.0,4.0,241.0,32.07,976.08,9.0,53.25,2.22,151.08,2.7059999,14.306,0.4,71.298004,0.04,0.725,0.6,0.2
5,72.0,2018.0,6.0,1.0,5.0,262.0,31.38,976.92,12.33,61.08,1.69,120.0,2.909,16.359,0.4,76.497,0.03,0.6875,0.6,0.13
6,69.0,2018.0,6.0,1.0,6.0,240.0,30.83,977.67,49.67,65.92,2.1,92.92,3.112,18.411999,0.4,81.696,0.02,0.65,0.6,0.1
7,63.0,2018.0,6.0,1.0,7.0,342.0,31.18,978.0,141.33,58.75,1.67,108.0,3.315,20.465,0.4,86.895004,0.03,0.6125,0.6,0.1
8,57.0,2018.0,6.0,1.0,8.0,287.0,32.38,978.0,255.42,53.25,1.67,126.67,3.518,22.518,0.43,92.094,0.04,0.575,0.72,0.1
9,56.0,2018.0,6.0,1.0,9.0,252.0,34.26,977.92,336.83,47.33,1.89,133.58,3.721,24.571,0.5,97.293,0.06,0.5375,0.74,0.13
10,89.0,2018.0,6.0,1.0,10.0,265.0,35.24,976.75,360.5,42.92,1.87,129.58,3.924,26.624,0.54,102.492,0.08,0.5,0.72,0.13
11,69.0,2018.0,6.0,1.0,11.0,266.0,36.7,976.0,289.25,38.67,1.79,117.17,4.127,28.677,0.5,107.691,0.09,0.34,0.72,0.1
12,72.0,2018.0,6.0,1.0,12.0,277.0,38.24,975.52,269.78,34.62,1.58,133.82,4.33,30.73,3.82,112.89,0.83,0.18,20.35,17.32
13,118.0,2018.0,6.0,1.0,13.0,287.0,39.92,976.58,159.42,31.25,1.29,125.0,3.69,12.79,3.44,132.4,1.32,0.28,16.17,17.87
