,PM2.5,year,month,day,hour,PM10,AT,BP,SR,RH,WS,WD,NO,NO2,SO2,Ozone,CO,Benzene,NH3,NOx
0,72.5,2018.0,6.0,1.0,0.0,241.25,38.77,979.0,3.0,38.0,2.91,116.58,0.25,10.7,1.21,93.18,0.53,4.78,20.65,42.06
1,70.0,2018.0,6.0,1.0,1.0,234.0,38.0,979.0,3.0,41.58,2.93,114.42,0.26,23.66,0.4,94.26,0.5,7.46,2.03,64.23
2,52.0,2018.0,6.0,1.0,2.0,186.0,36.84,979.58,3.0,48.0,3.01,122.33,1.0,36.62,1.72,63.87,0.2,3.06,4.58,22.62
3,57.0,2018.0,6.0,1.0,3.0,221.0,36.45,979.33,3.0,52.33,2.24,128.42,0.18,49.58,0.4,65.03,0.5,6.15,2.87,59.79
4,57.0,2018.0,6.0,1.0,4.0,204.0,35.62,980.0,3.0,59.17,2.84,114.25,0.48,62.54,0.4,50.61,0.5,5.96,2.36,63.36
5,59.0,2018.0,6.0,1.0,5.0,213.0,34.83,980.42,8.33,64.17,3.57,114.5,0.41,75.5,1.31,43.02,0.46,4.93,1.92,62.49
6,79.0,2018.0,6.0,1.0,6.0,312.0,34.13,981.0,59.67,61.0,3.92,109.42,0.52,65.8,1.27,42.98,0.48,4.82,2.31,61.08
7,63.0,2018.0,6.0,1.0,7.0,261.0,34.57,981.75,167.67,55.58,3.68,117.5,0.44,38.135002,0.3,61.77,0.7,5.34,2.98,81.67
8,51.0,2018.0,6.0,1.0,8.0,205.0,36.23,982.0,330.42,49.42,2.84,115.67,0.88,10.47,1.13,68.42,0.74,4.68,2.21,83.2
9,61.0,2018.0,6.0,1.0,9.0,213.0,38.04,982.92,447.33,44.58,3.58,113.08,0.93,10.57,0.3,84.9,0.77,5.42,4.04,81.92
10,59.0,2018.0,6.0,1.0,10.0,261.0,39.46,982.42,631.33,40.58,2.97,120.5,0.43,45.56,0.3,107.19,0.69,5.22,4.95,73.21
11,56.0,2018.0,6.0,1.0,11.0,230.0,40.92,982.0,730.0,36.92,2.56,119.08,0.47,80.55,1.13,104.13,0.51,4.37,4.31,65.39
12,55.0,2018.0,6.0,1.0,12.0,228.0,42.98,981.17,763.33,31.75,1.68,129.5,0.58,75.9375,0.3,143.41,0.48,5.37,4.51,76.68
13,59.0,2018.0,6.0,1.0,13.0,224.0,43.85,980.5,728.08,29.33,1.3,140.54,0.23,71.325,0.3,161.09,0.41,5.38,3.99,74.34
14,57.17,2018.0,6.0,1.0,14.0,221.25,44.66,979.42,624.67,28.0,2.05,113.17,0.24,66.7125,1.12,169.52,0.37,4.44,3.68,63.2
15,57.0,2018.0,6.0,1.0,15.0,233.0,45.17,978.33,478.17,27.0,1.75,112.58,0.13,62.1,0.71,171.66,0.5,4.72,3.43,57.44
16,52.0,2018.0,6.0,1.0,16.0,251.0,44.82,977.0,311.25,27.33,2.24,113.67,0.2,36.25,0.28,165.42,0.58,5.24,3.57,63.09
17,112.0,2018.0,6.0,1.0,17.0,290.0,43.71,976.33,146.67,29.17,2.82,111.42,1.14,10.4,0.62,137.2,0.6,5.13,8.84,57.08
18,62.0,2018.0,6.0,1.0,18.0,321.0,42.63,977.0,40.67,31.17,3.07,108.75,0.42,12.02,4.11,121.68,0.7,0.38,58.26,12.42
19,66.0,2018.0,6.0,1.0,19.0,376.0,41.09,977.0,5.17,38.08,3.72,108.92,0.43,13.13,4.14,98.62,0.67,0.5,59.16,13.56
20,79.0,2018.0,6.0,1.0,20.0,442.0,35.99,980.25,3.42,49.33,6.11,56.25,0.4,10.92,3.28,108.22,0.49,2.37,31.62,37.33
21,95.0,2018.0,6.0,1.0,21.0,545.0,31.4,982.17,3.42,59.83,5.72,61.92,0.33,10.83,0.33,110.55,0.35,5.42,3.28,57.81
22,111.0,2018.0,6.0,1.0,22.0,648.0,33.22,981.17,3.17,42.58,4.51,105.33,0.53,10.74,1.71,99.63,0.38,1.98,34.71,26.37
23,70.0,2018.0,6.0,1.0,23.0,334.0,31.89,980.5,3.0,48.5,1.5,135.58,1.23,11.46,3.6,79.57,0.28,1.51,36.14,21.28
24,31.0,2018.0,6.0,2.0,0.0,95.0,31.2,980.08,3.0,52.33,1.43,207.75,0.32,11.02,2.52,81.57,0.3,1.93,31.17,23.49
25,22.0,2018.0,6.0,2.0,1.0,90.0,31.02,980.0,3.0,51.83,0.62,194.25,0.27,10.25,0.2,88.07,0.22,5.49,2.51,49.38
26,22.0,2018.0,6.0,2.0,2.0,72.0,31.12,980.0,3.0,50.42,0.45,180.17,0.6,10.225,1.12,80.13,0.11,3.77,4.05,17.24
27,20.0,2018.0,6.0,2.0,3.0,67.0,31.01,980.08,3.0,50.5,0.92,192.75,0.46,10.2,0.2,73.64,0.17,5.88,3.93,44.23
28,18.0,2018.0,6.0,2.0,4.0,63.0,30.89,980.67,3.0,49.83,0.62,181.33,0.4,10.3,1.61,67.55,0.1,3.58,19.71,28.96
29,24.0,2018.0,6.0,2.0,5.0,67.0,31.11,981.25,8.33,47.92,0.56,145.67,0.54,17.6,0.69,61.25,0.1,5.7,4.23,37.68
30,28.0,2018.0,6.0,2.0,6.0,67.0,31.83,982.0,63.83,47.17,2.15,117.25,0.95,10.34,3.81,57.06,0.36,1.67,31.69,18.79
31,41.0,2018.0,6.0,2.0,7.0,127.0,33.01,982.75,166.5,44.08,2.06,117.67,1.08,10.54,1.38,67.3,0.42,4.88,13.92,33.84
32,42.0,2018.0,6.0,2.0,8.0,140.0,35.08,983.0,325.5,38.17,2.21,115.92,1.16,10.51,0.63,78.99,0.47,5.88,14.65,33.98
33,51.0,2018.0,6.0,2.0,9.0,167.0,36.77,983.0,445.5,35.17,2.15,115.08,1.38,10.66,3.13,91.86,0.5,2.37,30.55,23.07
34,47.0,2018.0,6.0,2.0,10.0,163.0,38.37,983.0,611.33,32.25,2.37,114.58,0.55,10.2,0.3,117.6,0.47,6.38,3.73,43.73
35,58.0,2018.0,6.0,2.0,11.0,241.0,39.24,983.0,685.17,32.0,3.07,113.42,0.69,48.1,0.78,121.1,0.34,5.71,3.65,42.98
36,48.0,2018.0,6.0,2.0,12.0,180.0,39.57,982.42,706.0,33.92,3.38,107.08,0.43,48.266666,0.3,138.22,0.4,5.87,3.25,48.5
37,55.0,2018.0,6.0,2.0,13.0,196.0,40.06,982.0,671.92,33.92,3.3,111.42,0.57,48.43333,0.3,143.56,0.14,5.73,2.85,50.88
38,51.0,2018.0,6.0,2.0,14.0,180.0,40.58,981.0,585.0,32.92,3.28,113.42,0.46,48.6,1.53,144.3,0.13,4.09,2.45,46.28
39,57.0,2018.0,6.0,2.0,15.0,207.0,41.29,980.0,457.25,32.0,2.32,115.0,0.29,51.0,0.68,144.58,0.18,4.76,2.77,43.78
40,62.0,2018.0,6.0,2.0,16.0,215.0,41.09,979.17,300.58,33.0,2.86,109.92,0.28,51.65,0.23,152.58,0.18,5.32,2.44,50.27
41,68.0,2018.0,6.0,2.0,17.0,262.0,40.48,979.0,150.25,34.17,2.9,113.83,0.23,52.3,1.53,129.69,0.2,4.05,1.75,46.67
42,72.0,2018.0,6.0,2.0,18.0,251.0,39.48,978.33,46.42,37.17,3.22,112.83,0.25,10.72,1.47,125.4,0.49,2.9,26.12,31.12
43,90.0,2018.0,6.0,2.0,19.0,304.0,37.68,978.58,5.33,45.42,3.62,110.83,0.28,11.83,3.1,104.15,0.45,0.35,52.41,12.11
44,59.0,2018.0,6.0,2.0,20.0,208.0,36.54,979.17,3.0,46.92,3.63,109.5,0.41,10.87,2.41,97.57,0.52,1.28,55.51,11.28
45,56.0,2018.0,6.0,2.0,21.0,160.0,35.57,980.0,3.0,50.5,3.41,112.58,0.33,10.5,2.06,100.53,0.48,2.22,38.17,25.65
46,44.0,2018.0,6.0,2.0,22.0,122.0,35.07,980.0,3.0,53.33,2.58,115.42,0.36,10.11,0.32,91.73,0.56,6.19,3.33,53.2
47,50.0,2018.0,6.0,2.0,23.0,113.0,34.59,980.0,3.0,53.67,2.37,120.42,0.28,56.1,0.77,78.35,0.5,5.53,3.24,47.73
48,44.0,2018.0,6.0,3.0,0.0,102.0,34.43,980.0,3.0,50.58,2.87,115.25,0.17,59.0,0.3,85.34,0.23,6.18,3.75,55.92
49,38.0,2018.0,6.0,3.0,1.0,106.0,33.72,980.0,3.0,52.0,2.28,119.17,0.27,61.9,0.82,79.18,0.36,5.95,3.75,54.93
50,39.0,2018.0,6.0,3.0,2.0,95.0,33.62,979.67,3.0,51.83,2.13,121.67,0.3,59.9,1.17,77.27,0.12,4.7,4.8,19.97
51,31.0,2018.0,6.0,3.0,3.0,91.0,33.62,979.0,3.0,52.5,2.36,119.67,0.34,57.9,0.3,75.66,0.28,6.54,3.62,52.19
52,34.0,2018.0,6.0,3.0,4.0,83.0,32.94,979.58,3.0,56.58,2.65,115.17,0.23,55.9,0.3,67.93,0.3,6.52,3.48,51.23
53,35.0,2018.0,6.0,3.0,5.0,81.0,31.88,980.0,8.33,65.42,2.96,108.83,0.2,53.9,0.83,45.48,0.37,5.87,3.46,48.0
54,40.0,2018.0,6.0,3.0,6.0,117.0,31.8,980.25,57.92,70.0,3.04,100.67,0.6,10.56,0.4,34.28,0.64,6.18,3.35,54.93
55,46.0,2018.0,6.0,3.0,7.0,145.0,32.13,981.0,151.33,69.25,3.3,91.92,1.86,11.72,4.58,27.82,0.64,0.4,54.69,13.59
56,55.0,2018.0,6.0,3.0,8.0,184.0,33.96,981.0,315.58,61.08,3.28,106.0,2.42,12.61,6.84,44.17,0.6,1.37,59.12,15.03
57,53.0,2018.0,6.0,3.0,9.0,171.0,36.47,980.83,446.0,52.08,3.37,106.33,0.91,10.33,1.09,81.19,0.63,5.47,12.01,59.07
58,53.0,2018.0,6.0,3.0,10.0,224.0,38.86,980.0,630.0,44.92,2.54,113.92,1.22,10.77,3.59,89.48,0.53,3.24,36.6,35.98
59,45.0,2018.0,6.0,3.0,11.0,156.0,40.22,979.92,728.33,39.75,2.46,108.08,0.65,69.35,1.32,96.21,0.4,4.9,5.68,54.1
60,53.0,2018.0,6.0,3.0,12.0,143.0,41.88,979.0,743.75,34.17,1.95,115.83,0.57,67.174995,0.35,133.72,0.4,5.52,3.97,68.77
61,47.0,2018.0,6.0,3.0,13.0,125.0,43.07,978.25,701.0,31.08,1.51,125.25,0.35,65.0,0.3,144.57,0.4,5.34,3.75,68.21
62,47.0,2018.0,6.0,3.0,14.0,134.0,43.31,977.25,609.5,30.08,1.51,110.67,0.52,62.824997,1.02,156.04,0.28,4.4,2.6,63.99
63,50.0,2018.0,6.0,3.0,15.0,146.0,43.45,976.42,472.08,29.92,1.45,131.75,0.38,60.649998,0.2,161.37,0.36,5.07,3.41,56.21
64,52.0,2018.0,6.0,3.0,16.0,150.0,43.48,976.0,312.58,28.92,1.27,113.75,0.1,58.475,0.2,170.33,0.41,4.99,4.18,57.17
65,57.0,2018.0,6.0,3.0,17.0,179.0,42.95,975.0,156.92,29.5,1.54,109.25,0.1,56.3,0.62,165.42,0.39,4.62,3.79,51.18
66,64.0,2018.0,6.0,3.0,18.0,199.0,41.72,975.75,44.83,32.58,2.75,111.25,0.19,50.4,0.63,126.35,0.49,4.9,3.57,47.73
67,77.0,2018.0,6.0,3.0,19.0,254.0,40.37,976.0,5.75,37.5,3.24,97.75,12.5,11.71,3.23,97.45,0.51,2.9,28.96,32.14
68,78.0,2018.0,6.0,3.0,20.0,294.0,39.25,976.42,3.0,41.67,2.91,106.25,0.24,12.89,6.64,99.06,0.64,1.23,54.59,13.14
69,67.0,2018.0,6.0,3.0,21.0,219.0,38.73,977.0,3.17,44.17,1.94,108.25,0.2,16.92,6.03,68.05,0.9,0.84,53.83,17.07
