,PM2.5,year,month,day,hour,PM10,AT,BP,SR,RH,WS,WD,NO,NO2,SO2,Ozone,CO,Benzene,NH3,NOx
0,70.0,2018.0,6.0,1.0,0.0,263.0,34.3,977.0,3.0,44.08,2.76,100.0,1.11,45.9,0.7,18.45,1.01,1.64,7.25,42.01
1,73.0,2018.0,6.0,1.0,1.0,246.0,33.71,977.0,3.0,45.42,2.71,111.17,1.15,47.95,0.5,19.73,1.0,1.77,6.87,48.22
2,68.0,2018.0,6.0,1.0,2.0,223.0,32.78,977.0,3.0,50.25,2.48,133.42,1.28,50.0,0.28,17.95,0.29,0.95,3.12,12.85
3,64.0,2018.0,6.0,1.0,3.0,206.0,32.05,977.0,3.0,55.0,3.12,159.67,1.17,52.050003,0.2,15.77,1.0,1.43,9.17,46.24
4,73.0,2018.0,6.0,1.0,4.0,219.0,31.4,977.0,3.0,60.92,2.4,141.25,1.23,54.100002,0.29,15.82,1.0,1.2,6.66,53.67
5,72.0,2018.0,6.0,1.0,5.0,222.0,30.67,977.83,5.5,68.83,2.2,114.42,1.11,56.15,0.18,14.34,0.93,1.3,6.63,58.12
6,68.0,2018.0,6.0,1.0,6.0,282.0,30.37,978.42,28.33,65.5,2.46,102.33,1.04,58.2,0.46,15.87,0.83,1.12,5.05,55.41
7,51.0,2018.0,6.0,1.0,7.0,284.0,30.88,979.0,57.75,59.42,2.05,115.33,1.09,57.133335,0.31,18.05,0.9,1.07,7.26,57.47
8,53.0,2018.0,6.0,1.0,8.0,244.0,31.97,979.67,81.42,55.17,2.12,138.83,1.28,56.066666,0.1,16.63,0.9,1.23,11.12,58.33
9,57.0,2018.0,6.0,1.0,9.0,205.0,33.71,980.0,117.0,50.42,2.34,116.92,1.52,55.0,0.15,20.44,0.92,1.29,19.44,62.47
10,56.0,2018.0,6.0,1.0,10.0,228.0,35.53,980.0,139.0,45.5,1.55,133.42,1.23,53.933334,0.2,33.37,0.97,1.53,14.77,58.85
11,56.0,2018.0,6.0,1.0,11.0,229.0,37.17,979.08,172.75,40.58,1.47,114.25,1.15,52.866665,0.2,40.58,0.93,1.25,13.97,54.91
12,55.0,2018.0,6.0,1.0,12.0,261.0,39.12,978.67,282.58,35.67,1.58,117.5,1.02,51.8,0.51,41.0,0.84,1.15,9.43,49.39
13,56.0,2018.0,6.0,1.0,13.0,245.0,40.52,977.83,628.5,33.25,1.48,129.5,1.13,51.933334,0.17,48.33,0.92,1.5,12.35,49.2
14,113.0,2018.0,6.0,1.0,14.0,237.0,41.87,976.67,536.67,30.08,1.48,150.25,1.05,52.066666,0.1,48.48,0.97,1.46,12.53,49.75
15,57.0,2018.0,6.0,1.0,15.0,235.0,42.62,975.58,292.67,27.5,1.26,151.0,1.08,52.199997,0.12,48.96,1.0,1.37,16.62,48.53
