,year,month,day,hour,PM10,AT,BP,SR,RH,WS,WD,NO,NO2,SO2,Ozone,CO,Benzene,NH3,NOx
0,2018.0,6.0,1.0,0.0,86.0,32.27,743.0,4.83,38.92,1.94,85.83,7.99,66.73,22.68,215.0,0.89,4.36,51.46,72.71
1,2018.0,6.0,1.0,1.0,106.0,31.77,743.0,5.17,39.5,1.94,90.67,6.35,64.44,25.62,186.0,0.75,3.72,56.61,68.26
2,2018.0,6.0,1.0,2.0,81.0,30.8,743.0,4.67,43.08,2.58,97.25,6.8,47.04,10.43,169.0,0.25,3.45,31.44,16.76
3,2018.0,6.0,1.0,3.0,70.0,29.78,743.0,4.75,48.58,2.52,108.67,5.98,24.34,23.95,180.0,0.87,3.5,55.12,30.85
4,2018.0,6.0,1.0,4.0,73.0,29.25,743.0,4.83,53.25,2.67,103.5,5.04,19.2,24.28,178.0,0.81,3.48,52.59,24.78
5,2018.0,6.0,1.0,5.0,56.0,28.37,743.0,9.08,60.17,2.92,94.25,6.55,29.23,20.4,173.0,0.79,3.24,52.44,36.16
6,2018.0,6.0,1.0,6.0,69.0,27.93,743.0,57.75,60.5,3.98,83.0,7.72,33.85,19.43,201.0,0.83,2.6,49.85,42.04
7,2018.0,6.0,1.0,7.0,66.0,28.72,743.0,161.33,55.17,3.11,98.25,10.15,40.58,19.51,235.0,0.8,2.32,48.55,51.65
8,2018.0,6.0,1.0,8.0,59.0,30.08,743.0,278.58,50.67,2.78,113.67,11.8,50.62,22.58,179.0,0.91,2.45,55.51,63.23
9,2018.0,6.0,1.0,9.0,101.0,31.87,743.0,346.83,46.08,3.35,97.67,13.74,70.97,28.43,173.0,1.06,2.72,57.36,84.7
10,2018.0,6.0,1.0,10.0,80.0,33.54,743.0,373.75,41.67,3.31,107.33,9.48,62.49,34.97,184.0,1.04,2.99,65.07,70.87
11,2018.0,6.0,1.0,11.0,78.0,35.12,743.0,385.0,37.92,3.22,106.58,9.28,56.82,48.08,202.0,0.81,2.68,70.18,65.37
12,2018.0,6.0,1.0,12.0,81.0,37.45,742.92,382.33,33.08,2.43,132.5,7.4,43.14,33.17,206.0,0.72,2.37,60.15,50.15
13,2018.0,6.0,1.0,13.0,36.0,38.55,743.0,375.75,30.0,2.22,136.0,9.59,35.21,34.41,184.0,0.65,2.06,66.92,45.99
14,2018.0,6.0,1.0,14.0,102.0,39.25,743.0,360.92,28.17,1.85,150.08,6.73,28.57,33.12,207.0,0.58,1.75,61.63,35.81
15,2018.0,6.0,1.0,15.0,127.0,39.45,743.0,328.75,27.25,1.69,150.67,7.68,25.92,27.8,189.0,0.61,1.44,61.73,34.7
16,2018.0,6.0,1.0,16.0,105.0,38.58,743.0,238.83,28.75,2.24,121.75,6.81,45.26,27.61,202.0,0.82,1.13,58.28,51.26
17,2018.0,6.0,1.0,17.0,130.0,37.49,743.0,83.58,31.33,3.13,85.42,7.93,73.55,32.05,206.0,0.97,0.82,59.12,78.88
18,2018.0,6.0,1.0,18.0,100.0,36.33,743.0,35.42,32.33,3.15,85.25,6.77,93.98,41.82,219.0,1.03,1.38,66.52,96.03
19,2018.0,6.0,1.0,19.0,103.0,35.35,743.0,5.92,33.25,2.92,82.58,5.43,104.55,32.77,228.0,1.29,3.33,61.54,103.19
20,2018.0,6.0,1.0,20.0,68.0,31.89,742.92,4.25,42.42,3.36,121.33,4.82,62.71,26.14,215.0,1.13,4.97,53.03,64.47
21,2018.0,6.0,1.0,21.0,208.0,25.16,743.0,4.83,56.5,3.4,113.33,7.53,55.74,22.5,297.0,0.69,3.44,48.74,59.52
